Freq,Input,Output (word/lemma),"human
checked",Alt,Ordered,Auto ,conflict,L pinky,L ring,L middle,L index,LT1,LT2,RT1,RT2,R index,R middle,R ring ,R pinky,1st,2nd,3rd,,,,,,,,,,,,,,,,,
102,e+c+h,check,FALSE,,,ech,0,,,,e,c,,h,,,,,,c,h,e,,e,c,h,,,,,,+,,,,,,Keep,check
103,i+e+c+p+a+l+s,special,FALSE,,,iecpals,0,,,i,e,c,,p,,a,l,s,,s,p,e,,i,e,c,p,a,l,s,,+,,,,,,Keep,special
104,i+r+c+p+s,prices,FALSE,,,ircps,0,,,i,r,c,,p,,,,s,,p,r,i,,i,r,c,p,s,,,,+,,,,,,Keep,prices
105,i+e+w+b+t+s,website,FALSE,,,iewbts,0,,,i,e,,w,,b,t,,s,,w,e,b,,i,e,w,b,t,s,,,+,,,,,,Keep,website
106,i+e+d+x+n,index,FALSE,,,iedxn,0,,,i,e,,,d,x,,n,,,i,n,d,,i,e,d,x,n,,,,+,,,,,,Keep,index
107,i+e+g+b+n,being,FALSE,,,iegbn,0,,,i,e,,g,,b,,n,,,b,e,i,,i,e,g,b,n,,,,+,,,,,,Keep,being
108,o+e+m+w+n,women,FALSE,,,oemwn,0,,,o,e,m,w,,,,n,,,w,o,m,,o,e,m,w,n,,,,+,,,,,,Keep,women
109,o+d+t+y,today,FALSE,,,odty,0,,,o,,,,d,,t,,y,,t,o,d,,o,d,t,y,,,,,+,,,,,,Keep,today
110,o+e+c+g+h+t+l+y,technology,FALSE,,,oecghtly,0,,,o,e,c,g,h,,t,l,y,,t,e,c,,o,e,c,g,h,t,l,y,+,,,,,,Keep,technology
111,u+o+h+t+s,south,FALSE,,,uohts,0,,u,o,,,,h,,t,,s,,s,o,u,,u,o,h,t,s,,,,+,,,,,,Keep,south
112,o+r+c+p+t+j,project,FALSE,,,orcptj,0,,,o,r,c,,p,,t,j,,,p,r,o,,o,r,c,p,t,j,,,+,,,,,,Keep,project
113,e+g+p+a+s,pages,FALSE,,,egpas,0,,,,e,,g,p,,a,,s,,p,a,g,,e,g,p,a,s,,,,+,,,,,,Keep,pages
114,i+e+v+n+s,version,FALSE,,,ievns,0,,,i,e,v,,,,,n,s,,v,e,r,,i,e,v,n,s,,,,+,,,,,,Keep,version
115,i+e+c+t+n+s,section,FALSE,,,iectns,0,,,i,e,c,,,,t,n,s,,s,e,c,,i,e,c,t,n,s,,,+,,,,,,Keep,section
116,u+o+f+n,found,FALSE,,,uofn,0,,u,o,,,,f,,,n,,,f,o,u,,u,o,f,n,,,,,+,,,,,,Keep,found
117,o+r+p+t+s,sports,FALSE,,,orpts,0,,,o,r,,,p,,t,,s,,s,p,o,,o,r,p,t,s,,,,+,,,,,,Keep,sports
