Freq,Input,Output (word/lemma),"human
checked",Alt,Ordered,Auto ,conflict,L pinky,L ring,L middle,L index,LT1,LT2,RT1,RT2,R index,R middle,R ring ,R pinky,1st,2nd,3rd,,,,,,,,,,,,,,,,,
158,,government,FALSE,,,,145,,,,,,,,,,,,,g,o,v,,,,,,,,,,+,,,,,,Keep,government
159,,children,FALSE,,,,146,,,,,,,,,,,,,c,h,i,,,,,,,,,,+,,,,,,Keep,children
160,,during,FALSE,,,,147,,,,,,,,,,,,,d,u,r,,,,,,,,,,+,,,,,,Keep,during
161,,return,FALSE,,,,148,,,,,,,,,,,,,r,e,t,,,,,,,,,,+,,,,,,Keep,return
162,,students,FALSE,,,,149,,,,,,,,,,,,,s,t,u,,,,,,,,,,+,,,,,,Keep,students
163,,shopping,FALSE,,,,150,,,,,,,,,,,,,s,h,o,,,,,,,,,,+,,,,,,Keep,shopping
164,,account,FALSE,,,,151,,,,,,,,,,,,,a,c,c,,,,,,,,,,+,,,,,,Keep,account
166,,sites,FALSE,,,,152,,,,,,,,,,,,,s,i,t,,,,,,,,,,+,,,,,,Keep,sites
167,,level,FALSE,,,,153,,,,,,,,,,,,,l,e,v,,,,,,,,,,+,,,,,,Keep,level
168,,digital,FALSE,,,,154,,,,,,,,,,,,,d,i,g,,,,,,,,,,+,,,,,,Keep,digital
169,,profile,FALSE,,,,155,,,,,,,,,,,,,p,r,o,,,,,,,,,,+,,,,,,Keep,profile
170,,previous,FALSE,,,,156,,,,,,,,,,,,,p,r,e,,,,,,,,,,+,,,,,,Keep,previous
171,,events,FALSE,,,,157,,,,,,,,,,,,,e,v,e,,,,,,,,,,+,,,,,,Keep,events
172,,hours,FALSE,,,,158,,,,,,,,,,,,,h,o,u,,,,,,,,,,+,,,,,,Keep,hours
173,,image,FALSE,,,,159,,,,,,,,,,,,,i,m,a,,,,,,,,,,+,,,,,,Keep,image
174,,department,FALSE,,,,160,,,,,,,,,,,,,d,e,p,,,,,,,,,,+,,,,,,Keep,department
175,,title,FALSE,,,,161,,,,,,,,,,,,,t,i,t,,,,,,,,,,+,,,,,,Keep,title
176,,description,FALSE,,,,162,,,,,,,,,,,,,d,e,s,,,,,,,,,,+,,,,,,Keep,description
177,,insurance,FALSE,,,,163,,,,,,,,,,,,,i,n,s,,,,,,,,,,+,,,,,,Keep,insurance
178,,another,FALSE,,,,164,,,,,,,,,,,,,a,n,o,,,,,,,,,,+,,,,,,Keep,another
179,,shall,FALSE,,,,165,,,,,,,,,,,,,s,h,a,,,,,,,,,,+,,,,,,Keep,shall
180,,property,FALSE,,,,166,,,,,,,,,,,,,p,r,o,,,,,,,,,,+,,,,,,Keep,property
181,,class,FALSE,,,,167,,,,,,,,,,,,,c,l,a,,,,,,,,,,+,,,,,,Keep,class
182,,still,FALSE,,,,168,,,,,,,,,,,,,s,t,i,,,,,,,,,,+,,,,,,Keep,still
183,,money,FALSE,,,,169,,,,,,,,,,,,,m,o,n,,,,,,,,,,+,,,,,,Keep,money
184,,quality,FALSE,,,,170,,,,,,,,,,,,,q,u,a,,,,,,,,,,+,,,,,,Keep,quality
185,,every,FALSE,,,,171,,,,,,,,,,,,,e,v,e,,,,,,,,,,+,,,,,,Keep,every
186,,listing,FALSE,,,,172,,,,,,,,,,,,,l,i,s,,,,,,,,,,+,,,,,,Keep,listing
187,,content,FALSE,,,,173,,,,,,,,,,,,,c,o,n,,,,,,,,,,+,,,,,,Keep,content
